code,description,service
00100,Anesth salivary gland,CPT Codes
00102,Anesth repair of cleft lip,CPT Codes
00103,Anesth blepharoplasty,CPT Codes
00104,Anesth electroshock,CPT Codes
00120,Anesth ear surgery,CPT Codes
00124,Anesth ear exam,CPT Codes
00126,Anesth tympanotomy,CPT Codes
00140,Anesth procedures on eye,CPT Codes
00142,Anesth lens surgery,CPT Codes
00144,Anesth corneal transplant,CPT Codes
00145,Anesth vitreoretinal surg,CPT Codes
00147,Anesth iridectomy,CPT Codes
00148,Anesth eye exam,CPT Codes
00160,Anesth nose/sinus surgery,CPT Codes
00162,Anesth nose/sinus surgery,CPT Codes
00164,Anesth biopsy of nose,CPT Codes
00170,Anesth procedure on mouth,CPT Codes
00172,Anesth cleft palate repair,CPT Codes
00174,Anesth pharyngeal surgery,CPT Codes
00176,Anesth pharyngeal surgery,CPT Codes
00190,Anesth face/skull bone surg,CPT Codes
00192,Anesth facial bone surgery,CPT Codes
00210,Anesth cranial surg nos,CPT Codes
00211,Anesth cran surg hemotoma,CPT Codes
00212,Anesth skull drainage,CPT Codes
00214,Anesth skull drainage,CPT Codes
00215,Anesth skull repair/fract,CPT Codes
00216,Anesth head vessel surgery,CPT Codes
00218,Anesth special head surgery,CPT Codes
00220,Anesth intrcrn nerve,CPT Codes
00222,Anesth head nerve surgery,CPT Codes
00300,Anesth head/neck/ptrunk,CPT Codes
00320,Anesth neck organ 1yr/>,CPT Codes
00322,Anesth biopsy of thyroid,CPT Codes
00326,Anesth larynx/trach < 1 yr,CPT Codes
00350,Anesth neck vessel surgery,CPT Codes
00352,Anesth neck vessel surgery,CPT Codes
00400,Anesth skin ext/per/atrunk,CPT Codes
00402,Anesth surgery of breast,CPT Codes
00404,Anesth surgery of breast,CPT Codes
00406,Anesth surgery of breast,CPT Codes
00410,Anesth correct heart rhythm,CPT Codes
00450,Anesth surgery of shoulder,CPT Codes
00454,Anesth collar bone biopsy,CPT Codes
00470,Anesth removal of rib,CPT Codes
00472,Anesth chest wall repair,CPT Codes
00474,Anesth surgery of rib,CPT Codes
00500,Anesth esophageal surgery,CPT Codes
00520,Anesth chest procedure,CPT Codes
00522,Anesth chest lining biopsy,CPT Codes
00524,Anesth chest drainage,CPT Codes
00528,Anes mediascpy & dx thorscpy,CPT Codes
00529,Anes medscpy&thorscpy 1 lung,CPT Codes
00530,Anesth pacemaker insertion,CPT Codes
00532,Anesth vascular access,CPT Codes
00534,Anesth cardioverter/defib,CPT Codes
00537,Anesth cardiac electrophys,CPT Codes
00539,Anesth trach-bronch reconst,CPT Codes
00540,Anesth chest surgery,CPT Codes
00541,Anesth one lung ventilation,CPT Codes
