code,description,service
01007,Dressing for one wound,
01007,Dressing for two wounds,
01007,Dressing for three wounds,
01007,Dressing for four wounds,
01007,Dressing for five wounds,
01007,Dressing for six wounds,
01007,Dressing for seven wounds,
01007,Dressing for eight wounds,
01007,Dressing for nine or more wounds,
01007,Anesthesia services performed personally by anesthesiologist,
01007,Audiology service furnished personally by an audiologist without a,
02008,physician/npp order for non-acute hearing assessment unrelated to,
03008,"disequilibrium; or hearing aids; or examinations for the purpose of",
04008,"prescribing; fitting; or changing hearing aids; service may be performed once",
05008,"every 12 months; per beneficiary",
01007,Medical supervision by a physician: more than four concurrent anesthesia,
02008,procedures,
01007,Registered dietician,
01007,Specialty physician,
01007,Primary physician,
01007,Clinical psychologist,
01007,Principal physician of record,
01007,Clinical social worker,
01007,Non participating physician,
01007,"Physician; team member service",
01007,Alternate payment method declined by provider of service,
01007,Determination of refractive state was not performed in the course of diagnostic,
02008,ophthalmological examination,
01007,Physician providing a service in an unlisted health professional shortage area,
02008,(hpsa),
01007,Physician provider services in a physician scarcity area,
01007,"Physician assistant; nurse practitioner; or clinical nurse specialist services",
02008,for assistant at surgery,
01007,"Acute treatment (this modifier should be used when reporting service 98940;",
02008,"98941; 98942)",
01007,"Item furnished in conjunction with a urological; ostomy; or tracheostomy supply",
01007,"Item furnished in conjunction with a prosthetic device; prosthetic or orthotic",
01007,Item furnished in conjunction with a surgical dressing,
01007,Item furnished in conjunction with dialysis services,
01007,Item or service furnished to an esrd patient that is not for the treatment of,
02008,esrd,
01007,Physician providing a service in a dental health professional shortage area for,
02008,the purpose of an electronic health record incentive payment,
01007,Item furnished in conjunction with parenteral enteral nutrition (pen) services,
01007,Special acquisition of blood and blood products,
01007,"Orally administered nutrition; not by feeding tube",
01007,The beneficiary has been informed of the purchase and rental options and has,
02008,elected to purchase the item,
01007,The beneficiary has been informed of the purchase and rental options and has,
02008,elected to rent the item,
01007,The beneficiary has been informed of the purchase and rental options and after,
02008,30 days has not informed the supplier of his/her decision,
01007,Procedure payable only in the inpatient setting when performed emergently on an,
02008,outpatient who expires prior to admission,
01007,Service ordered by a renal dialysis facility (rdf) physician as part of the,
02008,"esrd beneficiary's dialysis benefit; is not part of the composite rate; and is",
03008,separately reimbursable,
01007,Procedure code change (use 'cc' when the procedure code submitted was changed,
02008,either for administrative reasons or because an incorrect code was filed),
01007,Amcc test has been ordered by an esrd facility or mcp physician that is part of,
02008,the composite rate and is not separately billable,
01007,Amcc test has been ordered by an esrd facility or mcp physician that is a,
02008,composite rate test but is beyond the normal frequency covered under the rate,
03008,and is separately reimbursable based on medical necessity,
01007,Amcc test has been ordered by an esrd facility or mcp physician that is not,
02008,part of the composite rate and is separately billable,
01007,Policy criteria applied,
01007,"0 percent impaired; limited or restricted",
01007,"At least 1 percent but less than 20 percent impaired; limited or restricted",
01007,"At least 20 percent but less than 40 percent impaired; limited or restricted",
01007,"At least 40 percent but less than 60 percent impaired; limited or restricted",
01007,"At least 60 percent but less than 80 percent impaired; limited or restricted",
01007,"At least 80 percent but less than 100 percent impaired; limited or restricted",
01007,"100 percent impaired; limited or restricted",
01007,Outpatient occupational therapy services furnished in whole or in part by an,
02008,occupational therapy assistant,
01007,Adjunctive service related to a procedure assigned to a comprehensive,
02008,"ambulatory payment classification (c-apc) procedure; but reported on a",
03008,different claim,
01007,Outpatient physical therapy services furnished in whole or in part by a,
02008,physical therapist assistant,
01007,Catastrophe/disaster related,
01007,Cost-sharing waived for specified covid-19 testing-related services that result,
02008,in and order for or administration of a covid-19 test and/or used for,
03008,cost-sharing waived preventive services furnished via telehealth in rural,
04008,health clinics and federally qualified health centers during the covid-19,
05008,public health emergency,
01007,Computed tomography services furnished using equipment that does not meet each,
02008,of the attributes of the national electrical manufacturers association (nema),
03008,xr-29-2013 standard,
01007,Oral health assessment by a licensed health professional other than a dentist,
01007,"Upper left; eyelid",
01007,"Lower left; eyelid",
01007,"Upper right; eyelid",
01007,"Lower right; eyelid",
01007,Erythropoietic stimulating agent (esa) administered to treat anemia due to,
02008,anti-cancer chemotherapy,
01007,Erythropoietic stimulating agent (esa) administered to treat anemia due to,
02008,anti-cancer radiotherapy,
01007,Erythropoietic stimulating agent (esa) administered to treat anemia not due to,
02008,anti-cancer radiotherapy or anti-cancer chemotherapy,
01007,Hematocrit level has exceeded 39% (or hemoglobin level has exceeded 13.0 g/dl),
02008,for 3 or more consecutive billing cycles immediately prior to and including the,
03008,current cycle,
01007,Hematocrit level has not exceeded 39% (or hemoglobin level has not exceeded,
02008,13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and,
03008,including the current cycle,
01007,"Subsequent claims for a defined course of therapy; e.g.; epo; sodium",
02008,"hyaluronate; infliximab",
01007,Emergency reserve supply (for esrd benefit only),
01007,Service provided as part of medicaid early periodic screening diagnosis and,
02008,treatment (epsdt) program,
01007,"Items and services furnished by a provider-based; off-campus emergency",
02008,department,
01007,Emergency services,
01007,Expatriate beneficiary,
01007,No physician or other licensed health care provider order for this item or,
02008,service,
01007,"Left hand; second digit",
01007,"Left hand; third digit",
01007,"Left hand; fourth digit",
01007,"Left hand; fifth digit",
01007,"Right hand; thumb",
01007,"Right hand; second digit",
01007,"Right hand; third digit",
01007,"Right hand; fourth digit",
01007,"Right hand; fifth digit",
01007,"Left hand; thumb",
01007,"Item provided without cost to provider; supplier or practitioner; or full",
02008,"credit received for replaced device (examples; but not limited to; covered",
03008,"under warranty; replaced due to defect; free samples)",
01007,Partial credit received for replaced device,
01007,Service provided as part of family planning program,
01007,The service was furnished using audio-only communication technology,
01007,"The supervising practitioner was present through two-way; audio/video",
02008,communication technology,
01007,Split (or shared) evaluation and management visit,
01007,Unrelated evaluation and management (e/m) visit on the same day as another e/m,
02008,"visit or during a global procedure (preoperative; postoperative period; or on",
03008,"the same day as the procedure; as applicable). (report when an e/m visit is",
04008,"furnished within the global period but is unrelated; or when one or more",
05008,additional e/m visits furnished on the same day are unrelated),
01007,X-ray taken using film,
01007,X-ray taken using computed radiography technology/cassette-based imaging,
01007,"Telehealth services for diagnosis; evaluation; or treatment; of symptoms of an",
02008,acute stroke,
01007,Most recent urr reading of less than 60,
01007,Most recent urr reading of 60 to 64.9,
01007,Most recent urr reading of 65 to 69.9,
01007,Most recent urr reading of 70 to 74.9,
01007,Most recent urr reading of 75 or greater,
01007,Esrd patient for whom less than six dialysis sessions have been provided in a,
02008,month,
01007,Pregnancy resulted from rape or incest or pregnancy certified by physician as,
02008,life threatening,
01007,"Monitored anesthesia care (mac) for deep complex; complicated; or markedly",
02008,invasive surgical procedure,
01007,Monitored anesthesia care for patient who has history of severe,
02008,cardio-pulmonary condition,
01007,"Waiver of liability statement issued as required by payer policy; individual",
02008,case,
01007,Claim being re-submitted for payment because it is no longer covered under a,
02008,global payment demonstration,
01007,This service has been performed in part by a resident under the direction of a,
02008,teaching physician,
01007,Units of service exceeds medically unlikely edit value and represents,
02008,reasonable and necessary services,
01007,This service has been performed by a resident without the presence of a,
02008,teaching physician under the primary care exception,
01007,"Non-physician (e.g. nurse practitioner (np); certified registered nurse",
02008,"anesthetist (crna); certified registered nurse (crn); clinical nurse specialist",
03008,"(cns); physician assistant (pa)) services in a critical access hospital",
01007,Performance and payment of a screening mammogram and diagnostic mammogram on,
02008,"the same patient; same day",
01007,Diagnostic mammogram converted from screening mammogram on same day,
01007,"""opt out"" physician or practitioner emergency or urgent service",
01007,Reasonable and necessary item/service associated with a ga or gz modifier,
01007,"Medically unnecessary upgrade provided instead of non-upgraded item; no charge;",
02008,no advance beneficiary notice (abn),
01007,Multiple patients on one ambulance trip,
01007,Services delivered under an outpatient speech language pathology plan of care,
01007,Services delivered under an outpatient occupational therapy plan of care,
01007,Services delivered under an outpatient physical therapy plan of care,
01007,Via asynchronous telecommunications system,
01007,This service was performed in whole or in part by a resident in a department of,
02008,"veterans affairs medical center or clinic; supervised in accordance with va",
03008,policy,
01007,Dosage of erythropoietin stimulating agent has been reduced and maintained in,
02008,response to hematocrit or hemoglobin level,
01007,Via interactive audio and video telecommunication systems,
01007,"Waiver of liability statement issued as required by payer policy; routine notice",
01007,Attending physician not employed or paid under arrangement by the patient's,
02008,hospice provider,
01007,Service not related to the hospice patient's terminal condition,
01007,"Notice of liability issued; voluntary under payer policy",
01007,"Item or service statutorily excluded; does not meet the definition of any",
02008,"medicare benefit or; for non-medicare insurers; is not a contract benefit",
01007,Item or service expected to be denied as not reasonable and necessary,
01007,Court-ordered,
01007,Child/adolescent program,
01007,"Adult program; non geriatric",
01007,"Adult program; geriatric",
01007,Pregnant/parenting women's program,
01007,Mental health program,
01007,Substance abuse program,
01007,Opioid addiction treatment program,
01007,Integrated mental health/substance abuse program,
01007,Integrated mental health and intellectual disability/developmental disabilities,
02008,program,
01007,Employee assistance program,
01007,Specialized mental health programs for high-risk populations,
01007,Intern,
01007,Less than bachelor degree level,
01007,Bachelors degree level,
01007,Masters degree level,
01007,Doctoral level,
01007,Group setting,
01007,Family/couple with client present,
01007,Family/couple without client present,
01007,Multi-disciplinary team,
01007,Funded by child welfare agency,
01007,Funded state addictions agency,
01007,Funded by state mental health agency,
01007,Funded by county/local agency,
01007,Funded by juvenile justice agency,
01007,Funded by criminal justice agency,
01007,Competitive acquisition program no-pay submission for a prescription number,
01007,"Competitive acquisition program; restocking of emergency drugs after emergency",
02008,administration,
01007,"Competitive acquisition program (cap); drug not available through cap as",
02008,"written; reimbursed under average sales price methodology",
01007,Dmepos item subject to dmepos competitive bidding program that is furnished by,
02008,a hospital upon discharge,
01007,Off-the-shelf orthotic subject to dmepos competitive bidding program that is,
02008,furnished as part of a physical therapist or occupational therapist,
03008,professional service,
01007,Administered intravenously,
01007,Administered subcutaneously,
01007,Skin substitute used as a graft,
01007,Skin substitute not used as a graft,
01007,Administered via dialysate,
01007,Compounded drug,
01007,"Drug or biological acquired with 340b drug pricing program discount; reported",
02008,for informational purposes,
01007,One month supply or less of drug or biological,
01007,Three month supply of drug or biological,
01007,Drug amount discarded/not administered to any patient,
01007,Zero drug amount discarded/not administered to any patient,
01007,Lower extremity prosthesis functional level 0 - does not have the ability or,
02008,potential to ambulate or transfer safely with or without assistance and a,
03008,prosthesis does not enhance their quality of life or mobility.,
01007,Lower extremity prosthesis functional level 1 - has the ability or potential to,
02008,use a prosthesis for transfers or ambulation on level surfaces at fixed,
03008,cadence. typical of the limited and unlimited household ambulator.,
01007,Lower extremity prosthesis functional level 2 - has the ability or potential,
02008,for ambulation with the ability to traverse low level environmental barriers,
03008,"such as curbs; stairs or uneven surfaces.  typical of the limited community",
04008,ambulator.,
01007,Lower extremity prosthesis functional level 3 - has the ability or potential,
02008,for ambulation with variable cadence.  typical of the community ambulator who,
03008,has the ability to transverse most environmental barriers and may have,
