diagnosis_code,description,severity_level,service
A02.1,Salmonella sepsis,MCC,Infectious/Parasitic Diseases
A02.21,Salmonella meningitis,MCC,Infectious/Parasitic Diseases
A02.22,Salmonella pneumonia,MCC,Infectious/Parasitic Diseases
A06.4,Amebic liver abscess,MCC,Infectious/Parasitic Diseases
A06.5,Amebic lung abscess,MCC,Infectious/Parasitic Diseases
A06.6,Amebic brain abscess,MCC,Infectious/Parasitic Diseases
A17.0,Tuberculous meningitis,MCC,Infectious/Parasitic Diseases
A17.1,Meningeal tuberculoma,MCC,Infectious/Parasitic Diseases
A17.81,Tuberculoma of brain and spinal cord,MCC,Infectious/Parasitic Diseases
A17.82,Tuberculous meningoencephalitis,MCC,Infectious/Parasitic Diseases
A17.83,Tuberculous neuritis,MCC,Infectious/Parasitic Diseases
A17.89,Other tuberculosis of nervous system,MCC,Infectious/Parasitic Diseases
A18.31,Tuberculous peritonitis,MCC,Infectious/Parasitic Diseases
A19.0,Acute miliary tuberculosis of a single specified site,MCC,Infectious/Parasitic Diseases
A19.1,Acute miliary tuberculosis of multiple sites,MCC,Infectious/Parasitic Diseases
A19.2,"Acute miliary tuberculosis, unspecified",MCC,Infectious/Parasitic Diseases
A19.8,Other miliary tuberculosis,MCC,Infectious/Parasitic Diseases
A19.9,"Miliary tuberculosis, unspecified",MCC,Infectious/Parasitic Diseases
A20.0,Bubonic plague,MCC,Infectious/Parasitic Diseases
A20.1,Cellulocutaneous plague,MCC,Infectious/Parasitic Diseases
A20.2,Pneumonic plague,MCC,Infectious/Parasitic Diseases
A20.3,Plague meningitis,MCC,Infectious/Parasitic Diseases
A20.7,Septicemic plague,MCC,Infectious/Parasitic Diseases
A20.8,Other forms of plague,MCC,Infectious/Parasitic Diseases
A20.9,"Plague, unspecified",MCC,Infectious/Parasitic Diseases
A22.1,Pulmonary anthrax,MCC,Infectious/Parasitic Diseases
A22.7,Anthrax sepsis,MCC,Infectious/Parasitic Diseases
A26.7,Erysipelothrix sepsis,MCC,Infectious/Parasitic Diseases
A27.81,Aseptic meningitis in leptospirosis,MCC,Infectious/Parasitic Diseases
