diagnosis_code,description,cc_status,mdc,ms_drg_list,service
B88.01,Infestation by Demodex mites,N,09,"606, 607",Skin/Subcutaneous Tissue
B88.09,Other acariasis,N,09,"606, 607",Skin/Subcutaneous Tissue
C50.A0,Malignant inflammatory neoplasm of unspecified breast,N,09,"582, 583, 597, 598, 599",Skin/Subcutaneous Tissue
C50.A1,Malignant inflammatory neoplasm of right breast,N,09,"582, 583, 597, 598, 599",Skin/Subcutaneous Tissue
C50.A2,Malignant inflammatory neoplasm of left breast,N,09,"582, 583, 597, 598, 599",Skin/Subcutaneous Tissue
D71.1,Leukocyte adhesion deficiency,N,16,"808, 809, 810",Blood/Blood-forming Organs
D71.8,Other functional disorders of polymorphonuclear neutrophils,N,16,"808, 809, 810",Blood/Blood-forming Organs
D71.9,"Functional disorders of polymorphonuclear neutrophils, unspecified",N,16,"808, 809, 810",Blood/Blood-forming Organs
E11.A,Type 2 diabetes mellitus without complications in remission,N,10,"637, 638, 639",Endocrine/Nutritional/Metabolic
E72.530,"Primary hyperoxaluria, type 1",C,10,642,Endocrine/Nutritional/Metabolic
E72.538,Other specified primary hyperoxaluria,C,10,642,Endocrine/Nutritional/Metabolic
E72.539,"Primary hyperoxaluria, unspecified",C,10,642,Endocrine/Nutritional/Metabolic
E72.540,Dietary hyperoxaluria,N,11,"695, 696",Kidney/Urinary Tract
E72.541,Enteric hyperoxaluria,N,11,"695, 696",Kidney/Urinary Tract
E72.548,Other secondary hyperoxaluria,N,11,"695, 696",Kidney/Urinary Tract
E72.549,"Secondary hyperoxaluria, unspecified",N,11,"695, 696",Kidney/Urinary Tract
E78.010,Homozygous familial hypercholesterolemia [HoFH],N,10,642,Endocrine/Nutritional/Metabolic
E78.011,Heterozygous familial hypercholesterolemia [HeFH],N,10,642,Endocrine/Nutritional/Metabolic
E78.019,"Familial hypercholesterolemia, unspecified",N,10,642,Endocrine/Nutritional/Metabolic
E83.820,Generalized arterial calcification of infancy with unspecified genetic causality,C,05,"299, 300, 301",Circulatory System
"""""",,,15,"791(1), 793(1)",Newborns/Neonates
