provider_number,case_mix_index,total_cases,total_relative_weights,service
010001,1.9915,4107,8179.27,Medium-High Complexity
010005,1.5228,1318,2007.11,Medium-High Complexity
010006,1.7274,3455,5968.02,Medium-High Complexity
010007,1.2554,285,357.78,Medium Complexity
010011,1.8918,2316,4381.47,Medium-High Complexity
010012,1.6001,549,878.44,Medium-High Complexity
010016,2.2862,1375,3143.58,High Complexity
010018,1.4211,16,22.74,Medium Complexity
010019,1.3422,1445,1939.52,Medium Complexity
010021,1.3174,171,225.28,Medium Complexity
010022,0.9583,129,123.63,Low Complexity
010023,2.1023,2668,5609.05,High Complexity
010024,1.7193,2197,3777.41,Medium-High Complexity
010029,1.7620,2499,4403.28,Medium-High Complexity
010033,2.7860,8702,24243.82,High Complexity
010034,1.1246,82,92.22,Low-Medium Complexity
010035,1.3638,2381,3247.30,Medium Complexity
010036,1.2990,634,823.60,Medium Complexity
010039,2.0354,10438,21245.97,High Complexity
010040,1.7236,1808,3116.22,Medium-High Complexity
010044,1.1865,133,157.80,Low-Medium Complexity
010045,1.2686,187,237.22,Medium Complexity
010046,1.7071,1872,3195.72,Medium-High Complexity
010049,1.4484,633,916.84,Medium Complexity
010051,1.0055,27,27.15,Low-Medium Complexity
010052,0.9534,131,124.90,Low Complexity
010055,1.9332,2859,5527.01,Medium-High Complexity
010056,2.0292,3223,6540.17,High Complexity
010058,0.9751,78,76.05,Low Complexity
010059,1.1710,85,99.54,Low-Medium Complexity
010061,1.3314,539,717.65,Medium Complexity
010065,1.4704,323,474.94,Medium Complexity
010073,1.3069,149,194.73,Medium Complexity
010078,1.6667,2429,4048.45,Medium-High Complexity
010079,1.6469,1008,1660.04,Medium-High Complexity
010083,1.6089,1590,2558.20,Medium-High Complexity
010085,1.6495,1997,3294.13,Medium-High Complexity
010086,1.3213,241,318.44,Medium Complexity
010087,2.2500,1727,3885.66,High Complexity
010089,1.7214,1071,1843.66,Medium-High Complexity
010090,1.9323,2216,4281.94,Medium-High Complexity
010091,0.8651,35,30.28,Low Complexity
010092,1.7999,4628,8330.16,Medium-High Complexity
010095,0.9503,89,84.57,Low Complexity
010097,1.0859,159,172.66,Low-Medium Complexity
010099,1.1632,198,230.31,Low-Medium Complexity
010100,1.8223,2830,5157.25,Medium-High Complexity
010101,1.4111,318,448.74,Medium Complexity
010103,2.2256,1684,3747.92,High Complexity
010104,2.0429,5361,10952.10,High Complexity
010108,1.3114,691,906.15,Medium Complexity
010112,1.7887,300,536.61,Medium-High Complexity
010113,1.9857,4115,8171.32,Medium-High Complexity
010114,1.5646,967,1512.98,Medium-High Complexity
010118,1.4828,547,811.11,Medium Complexity
010120,1.1108,176,195.51,Low-Medium Complexity
010125,1.1954,346,413.60,Low-Medium Complexity
010126,1.3351,176,234.98,Medium Complexity
010128,0.8905,139,123.78,Low Complexity
010129,1.3686,240,328.46,Medium Complexity
010130,1.2842,505,648.53,Medium Complexity
010131,1.6935,2334,3952.69,Medium-High Complexity
010138,0.8925,12,10.71,Low Complexity
010139,2.1925,1741,3817.18,High Complexity
010144,2.2061,1775,3915.90,High Complexity
010148,0.9293,290,269.50,Low Complexity
010149,1.5185,1300,1974.07,Medium-High Complexity
010150,1.1785,169,199.16,Low-Medium Complexity
010157,1.2340,105,129.57,Medium Complexity
010158,1.2470,243,303.01,Medium Complexity
010164,1.2264,501,614.41,Medium Complexity
010168,2.8380,467,1325.35,High Complexity
010169,0.9777,143,139.81,Low Complexity
010173,1.3572,117,158.79,Medium Complexity
010174,0.9871,58,57.25,Low Complexity
010175,1.1871,94,111.58,Low-Medium Complexity
020001,2.3088,5271,12169.73,High Complexity
020006,1.7844,2180,3890.10,Medium-High Complexity
020008,1.4700,534,785.00,Medium Complexity
020012,1.6104,1433,2307.69,Medium-High Complexity
020017,2.2231,2901,6449.10,High Complexity
020018,1.1811,165,194.88,Low-Medium Complexity
020024,1.6183,1129,1827.05,Medium-High Complexity
020026,1.9900,1898,3777.04,Medium-High Complexity
030002,2.6865,3787,10173.90,High Complexity
030006,2.0762,6522,13540.94,High Complexity
030007,1.5344,1558,2390.55,Medium-High Complexity
030010,2.0223,1588,3211.34,High Complexity
030011,2.1852,2083,4551.81,High Complexity
030012,1.6638,4294,7144.48,Medium-High Complexity
030013,1.8881,3183,6009.98,Medium-High Complexity
030014,1.9493,2959,5768.13,Medium-High Complexity
030016,1.6252,1109,1802.34,Medium-High Complexity
030022,2.2863,573,1310.06,High Complexity
030023,2.1510,3148,6771.23,High Complexity
030024,2.6731,4694,12547.34,High Complexity
030030,1.7223,646,1112.59,Medium-High Complexity
030036,1.9113,7388,14120.74,Medium-High Complexity
