code,description,service
05,Revenue Code 05,UB-04 Revenue Codes
09,Revenue Code 09,UB-04 Revenue Codes
51,Revenue Code 51,UB-04 Revenue Codes
52,Revenue Code 52,UB-04 Revenue Codes
53,Revenue Code 53,UB-04 Revenue Codes
54,Revenue Code 54,UB-04 Revenue Codes
55,Revenue Code 55,UB-04 Revenue Codes
56,Revenue Code 56,UB-04 Revenue Codes
57,Revenue Code 57,UB-04 Revenue Codes
58,Revenue Code 58,UB-04 Revenue Codes
59,Revenue Code 59,UB-04 Revenue Codes
60,Revenue Code 60,UB-04 Revenue Codes
61,Revenue Code 61,UB-04 Revenue Codes
62,Revenue Code 62,UB-04 Revenue Codes
63,Revenue Code 63,UB-04 Revenue Codes
64,Revenue Code 64,UB-04 Revenue Codes
65,Revenue Code 65,UB-04 Revenue Codes
66,Revenue Code 66,UB-04 Revenue Codes
67,Revenue Code 67,UB-04 Revenue Codes
68,Revenue Code 68,UB-04 Revenue Codes
69,Revenue Code 69,UB-04 Revenue Codes
70,Revenue Code 70,UB-04 Revenue Codes
75,Revenue Code 75,UB-04 Revenue Codes
17,Revenue Code 17,UB-04 Revenue Codes
18,Revenue Code 18,UB-04 Revenue Codes
71,Revenue Code 71,UB-04 Revenue Codes
72,Revenue Code 72,UB-04 Revenue Codes
73,Revenue Code 73,UB-04 Revenue Codes
74,Revenue Code 74,UB-04 Revenue Codes
01,Revenue Code 01,UB-04 Revenue Codes
00,Revenue Code 00,UB-04 Revenue Codes
01,Revenue Code 01,UB-04 Revenue Codes
00,Revenue Code 00,UB-04 Revenue Codes
01,Revenue Code 01,UB-04 Revenue Codes
99,Revenue Code 99,UB-04 Revenue Codes
02,Revenue Code 02,UB-04 Revenue Codes
99,Revenue Code 99,UB-04 Revenue Codes
00,Revenue Code 00,UB-04 Revenue Codes
01,Revenue Code 01,UB-04 Revenue Codes
01,Revenue Code 01,UB-04 Revenue Codes
02,Revenue Code 02,UB-04 Revenue Codes
09,Revenue Code 09,UB-04 Revenue Codes
21,Revenue Code 21,UB-04 Revenue Codes
01,Revenue Code 01,UB-04 Revenue Codes
05,Revenue Code 05,UB-04 Revenue Codes
00,Revenue Code 00,UB-04 Revenue Codes
09,Revenue Code 09,UB-04 Revenue Codes
11,Revenue Code 11,UB-04 Revenue Codes
15,Revenue Code 15,UB-04 Revenue Codes
18,Revenue Code 18,UB-04 Revenue Codes
20,Revenue Code 20,UB-04 Revenue Codes
28,Revenue Code 28,UB-04 Revenue Codes
31,Revenue Code 31,UB-04 Revenue Codes
99,Revenue Code 99,UB-04 Revenue Codes
00,Revenue Code 00,UB-04 Revenue Codes
00,Revenue Code 00,UB-04 Revenue Codes
01,Revenue Code 01,UB-04 Revenue Codes
02,Revenue Code 02,UB-04 Revenue Codes
99,Revenue Code 99,UB-04 Revenue Codes
00,Revenue Code 00,UB-04 Revenue Codes
12,Revenue Code 12,UB-04 Revenue Codes
15,Revenue Code 15,UB-04 Revenue Codes
16,Revenue Code 16,UB-04 Revenue Codes
99,Revenue Code 99,UB-04 Revenue Codes
00,Revenue Code 00,UB-04 Revenue Codes
00,Revenue Code 00,UB-04 Revenue Codes
13,Revenue Code 13,UB-04 Revenue Codes
01,Revenue Code 01,UB-04 Revenue Codes
99,Revenue Code 99,UB-04 Revenue Codes
00,Revenue Code 00,UB-04 Revenue Codes
00,Revenue Code 00,UB-04 Revenue Codes
01,Revenue Code 01,UB-04 Revenue Codes
99,Revenue Code 99,UB-04 Revenue Codes
03,Revenue Code 03,UB-04 Revenue Codes
04,Revenue Code 04,UB-04 Revenue Codes
99,Revenue Code 99,UB-04 Revenue Codes
20,Revenue Code 20,UB-04 Revenue Codes
50,Revenue Code 50,UB-04 Revenue Codes
00,Revenue Code 00,UB-04 Revenue Codes
01,Revenue Code 01,UB-04 Revenue Codes
99,Revenue Code 99,UB-04 Revenue Codes
35,Revenue Code 35,UB-04 Revenue Codes
01,Revenue Code 01,UB-04 Revenue Codes
00,Revenue Code 00,UB-04 Revenue Codes
16,Revenue Code 16,UB-04 Revenue Codes
00,Revenue Code 00,UB-04 Revenue Codes
01,Revenue Code 01,UB-04 Revenue Codes
01,Revenue Code 01,UB-04 Revenue Codes
01,Revenue Code 01,UB-04 Revenue Codes
99,Revenue Code 99,UB-04 Revenue Codes
01,Revenue Code 01,UB-04 Revenue Codes
99,Revenue Code 99,UB-04 Revenue Codes
01,Revenue Code 01,UB-04 Revenue Codes
99,Revenue Code 99,UB-04 Revenue Codes
00,Revenue Code 00,UB-04 Revenue Codes
01,Revenue Code 01,UB-04 Revenue Codes
02,Revenue Code 02,UB-04 Revenue Codes
03,Revenue Code 03,UB-04 Revenue Codes
99,Revenue Code 99,UB-04 Revenue Codes
04,Revenue Code 04,UB-04 Revenue Codes
03,Revenue Code 03,UB-04 Revenue Codes
99,Revenue Code 99,UB-04 Revenue Codes
01,Revenue Code 01,UB-04 Revenue Codes
99,Revenue Code 99,UB-04 Revenue Codes
40,Revenue Code 40,UB-04 Revenue Codes
01,Revenue Code 01,UB-04 Revenue Codes
50,Revenue Code 50,UB-04 Revenue Codes
00,Revenue Code 00,UB-04 Revenue Codes
00,Revenue Code 00,UB-04 Revenue Codes
